Selection,Pos,Player,Player_ID,Age,Tm,Pts Won,Pts Max,Share,1st Tm,2nd Tm,3rd Tm,G,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS,WS/48,Year
ORV,F,Antoine Walker,0,25,bos,28,630,0.044,0,0,0,81,42,22.1,8.8,5,1.5,0.5,0.394,0.344,0.741,6.7,0.094,2002
ORV,C,Alonzo Mourning,0,31,mia,25,630,0.04,0,0,0,75,32.7,15.7,8.4,1.2,0.4,2.5,0.516,0.333,0.657,7.4,0.145,2002
ORV,F,Baron Davis,0,22,chh,24,630,0.038,0,0,0,82,40.5,18.1,4.3,8.5,2.1,0.6,0.417,0.356,0.58,8.2,0.118,2002
ORV,F,Rasheed Wallace,0,27,por,15,630,0.024,0,0,0,79,37.5,19.3,8.2,1.9,1.3,1.3,0.469,0.36,0.734,9.7,0.158,2002
ORV,G,Ray Allen,0,26,mil,13,630,0.021,0,0,0,69,36.6,21.8,4.5,3.9,1.3,0.3,0.462,0.434,0.873,8.9,0.169,2002
ORV,G,John Stockton,0,39,uta,11,630,0.017,1,0,0,82,31.3,13.4,3.2,8.2,1.9,0.3,0.517,0.321,0.857,10.7,0.2,2002
ORV,F,Shareef Abdur-Rahim,0,25,atl,5,630,0.008,0,0,0,77,38.7,21.2,9,3.1,1.3,1.1,0.461,0.3,0.801,7.2,0.116,2002
ORV,G,Michael Finley,0,28,dal,5,630,0.008,0,0,0,69,39.9,20.6,5.2,3.3,0.9,0.4,0.463,0.339,0.837,6.3,0.11,2002
ORV,G,Steve Francis,0,24,hou,5,630,0.008,0,0,0,57,41.1,21.6,7,6.4,1.2,0.4,0.417,0.324,0.773,4.4,0.091,2002
ORV,G,Mike Bibby,0,23,sac,4,630,0.006,0,0,0,80,33.2,13.7,2.8,5,1.1,0.2,0.453,0.37,0.803,6.3,0.113,2002
ORV,F,Pau Gasol,0,21,mem,4,630,0.006,0,0,0,82,36.7,17.6,8.9,2.7,0.5,2.1,0.518,0.2,0.709,7.6,0.121,2002
ORV,C,Raef LaFrentz,0,25,tot,4,630,0.006,0,0,0,78,31.5,13.5,7.4,1.1,0.7,2.7,0.458,0.388,0.695,6.4,0.125,2002
ORV,F,Shawn Marion,0,23,pho,4,630,0.006,0,0,0,81,38.4,19.1,9.9,2,1.8,1.1,0.469,0.393,0.845,9.8,0.151,2002
ORV,C,David Robinson,0,36,sas,4,630,0.006,0,0,0,78,29.5,12.2,8.3,1.2,1.1,1.8,0.507,0,0.681,10.1,0.211,2002
ORV,F,Vince Carter,0,25,tor,3,630,0.005,0,0,0,60,39.8,24.7,5.2,4,1.6,0.7,0.428,0.387,0.798,7,0.14,2002
ORV,C,Antonio Davis,0,33,tor,3,630,0.005,0,0,0,77,38.7,14.5,9.6,2,0.7,1.1,0.426,0,0.818,6.5,0.105,2002
ORV,F,Clifford Robinson,0,35,det,3,630,0.005,0,0,0,80,35.7,14.6,4.8,2.5,1.1,1.2,0.425,0.378,0.694,4.3,0.073,2002
ORV,F,Rashard Lewis,0,22,sea,2,630,0.003,0,0,2,71,36.4,16.8,7,1.7,1.5,0.6,0.468,0.389,0.81,8.6,0.16,2002
ORV,C,Michael Olowokandi,0,26,lac,2,630,0.003,0,0,2,80,32.1,11.1,8.9,1.1,0.7,1.8,0.433,0,0.622,1.6,0.029,2002
ORV,C,Elden Campbell,0,33,chh,1,630,0.002,0,0,1,77,28,13.9,6.9,1.3,0.8,1.8,0.484,0,0.797,7.6,0.168,2002
ORV,G,Sam Cassell,0,32,mil,1,630,0.002,0,0,1,74,35.2,19.7,4.2,6.7,1.2,0.2,0.463,0.348,0.86,8.6,0.158,2002
ORV,G,Reggie Miller,0,36,ind,1,630,0.002,0,0,1,79,36.6,16.5,2.8,3.2,1.1,0.1,0.453,0.406,0.911,9.5,0.159,2002
ORV,G,Cuttino Mobley,0,26,hou,1,630,0.002,0,0,1,74,42.1,21.7,4.1,2.5,1.5,0.5,0.438,0.395,0.85,5.7,0.087,2002
ORV,F,Wally Szczerbiak,0,24,min,1,630,0.002,0,0,1,82,38,18.7,4.8,3.1,0.8,0.3,0.508,0.455,0.831,8.7,0.134,2002
1st,F,Tim Duncan,0,26,sas,603,610,0.989,120,0,0,81,39.3,23.3,12.9,3.9,0.7,2.9,0.513,0.273,0.71,16.5,0.248,2003
1st,G,Kobe Bryant,0,24,lal,599,610,0.982,118,0,0,82,41.5,30,6.9,5.9,2.2,0.8,0.451,0.383,0.843,14.9,0.21,2003
1st,F,Kevin Garnett,0,26,min,596,610,0.977,115,0,0,82,40.5,23,13.4,6,1.4,1.6,0.502,0.282,0.751,15.6,0.225,2003
1st,C,Shaquille O'Neal,0,30,lal,593,610,0.972,112,0,0,67,37.8,27.5,11.1,3.1,0.6,2.4,0.574,0,0.622,13.2,0.25,2003
1st,G,Tracy McGrady,0,23,orl,578,610,0.948,107,0,0,75,39.4,32.1,6.5,5.5,1.7,0.8,0.457,0.386,0.793,16.1,0.262,2003
2nd,F,Dirk Nowitzki,0,24,dal,360,610,0.59,5,0,0,80,39,25.1,9.9,3,1.4,1,0.463,0.379,0.881,16.1,0.249,2003
2nd,G,Jason Kidd,0,29,njn,355,610,0.582,16,0,0,80,37.4,18.7,6.3,8.9,2.2,0.3,0.414,0.341,0.841,11.3,0.182,2003
2nd,G,Allen Iverson,0,27,phi,350,610,0.574,8,0,0,82,42.5,27.6,4.2,5.5,2.7,0.2,0.414,0.277,0.774,9.2,0.127,2003
2nd,F,Chris Webber,0,29,sac,310,610,0.508,1,0,0,67,39.1,23,10.5,5.4,1.6,1.3,0.461,0.238,0.607,6.9,0.127,2003
2nd,C,Ben Wallace,0,28,det,307,610,0.503,5,0,0,73,39.4,6.9,15.4,1.6,1.4,3.2,0.481,0.167,0.45,10.6,0.176,2003
3rd,C,Jermaine O'Neal,0,24,ind,165,610,0.27,2,0,0,77,37.2,20.8,10.3,2,0.9,2.3,0.484,0.333,0.731,10.5,0.177,2003
3rd,G,Stephon Marbury,0,25,pho,141,610,0.231,1,0,0,81,40,22.3,3.2,8.1,1.3,0.2,0.439,0.301,0.803,9.6,0.142,2003
3rd,F,Paul Pierce,0,25,bos,91,610,0.149,0,0,0,79,39.2,25.9,7.3,4.4,1.8,0.8,0.416,0.302,0.802,10.1,0.157,2003
3rd,G,Steve Nash,0,28,dal,85,610,0.139,0,0,0,82,33.1,17.7,2.9,7.3,1,0.1,0.465,0.413,0.909,11.6,0.206,2003
3rd,F,Jamal Mashburn,0,30,noh,63,610,0.103,0,0,0,82,40.5,21.6,6.1,5.6,1,0.2,0.422,0.389,0.848,9,0.13,2003
