Year,Selection,Pos,Player,Age,Tm,Pts_Won,Pts_Max,Share,G,MP,PTS,TRB,AST,STL,BLK,FGPct,3PPct,FTPct,WS,WS/48,DWS,DBPM,DRtg
2003,2nd,G,Jason Kidd,29,NJN,31,58,0.534,80,37.4,18.7,6.3,8.9,2.2,0.3,0.414,0.341,0.841,11.3,0.182,5.8,1.8,96
2003,2nd,F,Metta World Peace,23,IND,27,58,0.466,69,33.6,15.5,5.2,2.9,2.3,0.7,0.428,0.336,0.736,7.2,0.15,4.1,2.3,98
2003,2nd,F,Bruce Bowen,31,SAS,24,58,0.414,82,31.3,7.1,2.9,1.4,0.8,0.5,0.466,0.441,0.404,5.1,0.096,2.7,1,103
2003,2nd,G,Eric Snow,29,PHI,16,58,0.276,82,37.9,12.9,3.7,6.6,1.6,0.1,0.452,0.219,0.858,8.4,0.13,2.7,0.3,105
2003,2nd,C,Shaquille O'Neal,30,LAL,12,58,0.207,67,37.8,27.5,11.1,3.1,0.6,2.4,0.574,,0.622,13.2,0.25,3,0.1,102
2003,ORV,G,Gary Payton,34,TOT,15,58,0.259,80,40.1,20.4,4.2,8.3,1.7,0.3,0.454,0.297,0.71,9.1,0.136,2.1,-0.6,107
2003,ORV,F,P.J. Brown,33,NOH,11,58,0.19,78,33.4,10.7,9,1.9,0.9,1,0.531,0,0.836,10.2,0.188,3.8,1,100
2003,ORV,G,Allen Iverson,27,PHI,10,58,0.172,82,42.5,27.6,4.2,5.5,2.7,0.2,0.414,0.277,0.774,9.2,0.127,4.2,0.2,102
2003,ORV,F,Scottie Pippen,37,POR,8,58,0.138,64,29.9,10.8,4.3,4.5,1.6,0.4,0.444,0.286,0.818,3.8,0.095,2.6,1.6,101
2003,ORV,C,Theo Ratliff,29,ATL,8,58,0.138,81,31.1,8.7,7.5,0.9,0.7,3.2,0.464,,0.72,4,0.077,3.4,1.8,101
2003,ORV,F,Brian Grant,30,MIA,6,58,0.103,82,32.2,10.3,10.2,1.3,0.8,0.6,0.509,,0.771,7.7,0.139,4.1,0.4,99
2003,ORV,F,Andrei Kirilenko,21,UTA,6,58,0.103,80,27.7,12,5.3,1.7,1.5,2.2,0.491,0.325,0.8,9.2,0.199,3.8,2.9,98
2003,ORV,F,Clifford Robinson,36,DET,6,58,0.103,81,34.9,12.2,3.9,3.3,1.1,1.1,0.398,0.336,0.676,4.4,0.075,4,0.9,101
2003,ORV,F,Kenyon Martin,25,NJN,5,58,0.086,77,34.1,16.7,8.3,2.4,1.3,0.9,0.47,0.209,0.653,7.1,0.129,5.3,1.2,96
2003,ORV,C,Jermaine O'Neal,24,IND,5,58,0.086,77,37.2,20.8,10.3,2,0.9,2.3,0.484,0.333,0.731,10.5,0.177,5.2,0.9,97
2003,ORV,F,Shawn Marion,24,PHO,4,58,0.069,81,41.6,21.2,9.5,2.4,2.3,1.2,0.452,0.387,0.851,13,0.186,5.8,1.7,98
2003,ORV,G,Michael Jordan,39,WAS,3,58,0.052,82,37,20,6.1,3.8,1.5,0.5,0.445,0.291,0.821,6.2,0.099,3.4,0,103
