Year,Round,Winner,Loser,Winner_Seed,Loser_Seed,Team_1_Win%,Team_1_ORtg,Team_1_DRtg,Team_1_NRtg,Team_2_Win%,Team_2_ORtg,Team_2_DRtg,Team_2_NRtg,Team_1_Conf,Team_2_Conf
2006,Eastern Conf Semifinals,Detroit Pistons,Cleveland Cavaliers,1,4,0.78,111.59,103.9,7.69,0.61,108.49,106.01,2.48,E,E
2006,Eastern Conf Semifinals,Miami Heat,New Jersey Nets,2,3,0.634,109.53,105.34,4.19,0.598,104.66,103.24,1.42,E,E
2006,Western Conf Semifinals,Dallas Mavericks,San Antonio Spurs,4,1,0.732,112.87,105.73,7.14,0.768,108.02,100.32,7.7,W,W
2006,Western Conf Semifinals,Phoenix Suns,Los Angeles Clippers,2,6,0.659,112.27,106.45,5.82,0.573,106.09,104.24,1.85,W,W
2006,Eastern Conf Finals,Miami Heat,Detroit Pistons,2,1,0.634,109.53,105.34,4.19,0.78,111.59,103.9,7.69,E,E
2006,Western Conf Finals,Dallas Mavericks,Phoenix Suns,4,2,0.732,112.87,105.73,7.14,0.659,112.27,106.45,5.82,W,W
2006,Finals,Miami Heat,Dallas Mavericks,2,4,0.634,109.53,105.34,4.19,0.732,112.87,105.73,7.14,E,W
2005,Eastern Conf First Round,Detroit Pistons,Philadelphia 76ers,2,7,0.659,106.49,102.07,4.42,0.524,104.0,104.86,-0.86,E,E
2005,Eastern Conf First Round,Indiana Pacers,Boston Celtics,6,3,0.537,106.46,105.55,0.91,0.549,108.31,107.4,0.91,E,E
2005,Eastern Conf First Round,Miami Heat,New Jersey Nets,1,8,0.72,111.08,103.74,7.33,0.512,102.29,104.02,-1.73,E,E
2005,Eastern Conf First Round,Washington Wizards,Chicago Bulls,5,4,0.549,107.94,108.32,-0.38,0.573,102.14,101.01,1.13,E,E
2005,Western Conf First Round,Dallas Mavericks,Houston Rockets,4,5,0.707,111.32,104.88,6.44,0.622,107.03,102.57,4.46,W,W
2005,Western Conf First Round,Phoenix Suns,Memphis Grizzlies,1,8,0.756,115.01,107.53,7.49,0.549,106.5,103.89,2.61,W,W
2005,Western Conf First Round,San Antonio Spurs,Denver Nuggets,2,7,0.72,108.45,99.59,8.85,0.598,106.6,104.67,1.93,W,W
2005,Western Conf First Round,Seattle SuperSonics,Sacramento Kings,3,6,0.634,113.09,110.41,2.68,0.61,111.02,108.76,2.26,W,W
2005,Eastern Conf Semifinals,Detroit Pistons,Indiana Pacers,2,6,0.659,106.49,102.07,4.42,0.537,106.46,105.55,0.91,E,E
2005,Eastern Conf Semifinals,Miami Heat,Washington Wizards,1,5,0.72,111.08,103.74,7.33,0.549,107.94,108.32,-0.38,E,E
2005,Western Conf Semifinals,Phoenix Suns,Dallas Mavericks,1,4,0.756,115.01,107.53,7.49,0.707,111.32,104.88,6.44,W,W
2005,Western Conf Semifinals,San Antonio Spurs,Seattle SuperSonics,2,3,0.72,108.45,99.59,8.85,0.634,113.09,110.41,2.68,W,W
2005,Eastern Conf Finals,Detroit Pistons,Miami Heat,2,1,0.659,106.49,102.07,4.42,0.72,111.08,103.74,7.33,E,E
2005,Western Conf Finals,San Antonio Spurs,Phoenix Suns,2,1,0.72,108.45,99.59,8.85,0.756,115.01,107.53,7.49,W,W
2005,Finals,San Antonio Spurs,Detroit Pistons,2,2,0.72,108.45,99.59,8.85,0.659,106.49,102.07,4.42,W,E
2004,Eastern Conf First Round,Detroit Pistons,Milwaukee Bucks,3,6,0.659,103.18,96.48,6.7,0.5,107.28,106.09,1.19,E,E
2004,Eastern Conf First Round,Indiana Pacers,Boston Celtics,1,8,0.744,104.77,98.16,6.61,0.439,102.76,104.39,-1.63,E,E
2004,Eastern Conf First Round,Miami Heat,New Orleans Hornets,4,5,0.512,102.92,102.48,0.43,0.5,103.36,103.47,-0.12,E,E
2004,Eastern Conf First Round,New Jersey Nets,New York Knicks,2,7,0.573,101.76,99.05,2.71,0.476,102.39,104.02,-1.63,E,E
2004,Western Conf First Round,Los Angeles Lakers,Houston Rockets,2,7,0.683,106.23,102.06,4.16,0.549,101.8,99.87,1.93,W,W
2004,Western Conf First Round,Minnesota Timberwolves,Denver Nuggets,1,8,0.707,106.53,100.3,6.23,0.524,104.61,103.73,0.88,W,W
2004,Western Conf First Round,Sacramento Kings,Dallas Mavericks,4,5,0.671,110.87,105.42,5.45,0.634,113.01,108.1,4.92,W,W
2004,Western Conf First Round,San Antonio Spurs,Memphis Grizzlies,3,6,0.695,103.01,94.79,8.23,0.61,105.56,102.97,2.6,W,W
2004,Eastern Conf Semifinals,Detroit Pistons,New Jersey Nets,3,2,0.659,103.18,96.48,6.7,0.573,101.76,99.05,2.71,E,E
2004,Eastern Conf Semifinals,Indiana Pacers,Miami Heat,1,4,0.744,104.77,98.16,6.61,0.512,102.92,102.48,0.43,E,E
2004,Western Conf Semifinals,Los Angeles Lakers,San Antonio Spurs,2,3,0.683,106.23,102.06,4.16,0.695,103.01,94.79,8.23,W,W
2004,Western Conf Semifinals,Minnesota Timberwolves,Sacramento Kings,1,4,0.707,106.53,100.3,6.23,0.671,110.87,105.42,5.45,W,W
2004,Eastern Conf Finals,Detroit Pistons,Indiana Pacers,3,1,0.659,103.18,96.48,6.7,0.744,104.77,98.16,6.61,E,E
2004,Western Conf Finals,Los Angeles Lakers,Minnesota Timberwolves,2,1,0.683,106.23,102.06,4.16,0.707,106.53,100.3,6.23,W,W
2004,Finals,Detroit Pistons,Los Angeles Lakers,3,2,0.659,103.18,96.48,6.7,0.683,106.23,102.06,4.16,E,W
2003,Eastern Conf First Round,Boston Celtics,Indiana Pacers,6,3,0.537,101.9,102.33,-0.43,0.585,105.28,101.55,3.74,E,E
2003,Eastern Conf First Round,Detroit Pistons,Orlando Magic,1,8,0.61,104.84,100.71,4.14,0.512,105.84,105.72,0.12,E,E
2003,Eastern Conf First Round,New Jersey Nets,Milwaukee Bucks,2,7,0.598,104.42,98.8,5.62,0.512,109.62,109.36,0.26,E,E
